source,target1,target2,method,category,type,race,gender,path,Unnamed: 9,zip_path,local_path,clip_id,faces_saved,audio_extracted,face_dir,audio_path
id00076,-,-,real,A,RealVideo-RealAudio,African,men,00109.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id00076,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00076/00109.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00076/00109.mp4,0_RealVideo-RealAudio,3,True,../data/processed/frames,../data/processed/audio/0_RealVideo-RealAudio.wav
id00166,-,-,real,A,RealVideo-RealAudio,African,men,00010.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id00166,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00166/00010.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00166/00010.mp4,1_RealVideo-RealAudio,3,True,../data/processed/frames,../data/processed/audio/1_RealVideo-RealAudio.wav
id00173,-,-,real,A,RealVideo-RealAudio,African,men,00118.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id00173,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00173/00118.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00173/00118.mp4,2_RealVideo-RealAudio,5,True,../data/processed/frames,../data/processed/audio/2_RealVideo-RealAudio.wav
id00366,-,-,real,A,RealVideo-RealAudio,African,men,00118.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id00366,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00366/00118.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00366/00118.mp4,3_RealVideo-RealAudio,2,True,../data/processed/frames,../data/processed/audio/3_RealVideo-RealAudio.wav
id00391,-,-,real,A,RealVideo-RealAudio,African,men,00052.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id00391,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00391/00052.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00391/00052.mp4,4_RealVideo-RealAudio,4,True,../data/processed/frames,../data/processed/audio/4_RealVideo-RealAudio.wav
id00475,-,-,real,A,RealVideo-RealAudio,African,men,00099.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id00475,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00475/00099.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00475/00099.mp4,5_RealVideo-RealAudio,1,True,../data/processed/frames,../data/processed/audio/5_RealVideo-RealAudio.wav
id00476,-,-,real,A,RealVideo-RealAudio,African,men,00109.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id00476,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00476/00109.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00476/00109.mp4,6_RealVideo-RealAudio,5,True,../data/processed/frames,../data/processed/audio/6_RealVideo-RealAudio.wav
id00478,-,-,real,A,RealVideo-RealAudio,African,men,00206.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id00478,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00478/00206.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00478/00206.mp4,7_RealVideo-RealAudio,1,True,../data/processed/frames,../data/processed/audio/7_RealVideo-RealAudio.wav
id00518,-,-,real,A,RealVideo-RealAudio,African,men,00031.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id00518,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00518/00031.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00518/00031.mp4,8_RealVideo-RealAudio,4,True,../data/processed/frames,../data/processed/audio/8_RealVideo-RealAudio.wav
id00701,-,-,real,A,RealVideo-RealAudio,African,men,00092.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id00701,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00701/00092.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00701/00092.mp4,9_RealVideo-RealAudio,2,True,../data/processed/frames,../data/processed/audio/9_RealVideo-RealAudio.wav
