source,target1,target2,method,category,type,race,gender,path,Unnamed: 9,zip_path,local_path
id00076,-,-,real,A,RealVideo-RealAudio,African,men,00109.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id00076,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00076/00109.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00076/00109.mp4
id00166,-,-,real,A,RealVideo-RealAudio,African,men,00010.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id00166,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00166/00010.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00166/00010.mp4
id00173,-,-,real,A,RealVideo-RealAudio,African,men,00118.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id00173,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00173/00118.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00173/00118.mp4
id00366,-,-,real,A,RealVideo-RealAudio,African,men,00118.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id00366,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00366/00118.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00366/00118.mp4
id00391,-,-,real,A,RealVideo-RealAudio,African,men,00052.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id00391,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00391/00052.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00391/00052.mp4
id00475,-,-,real,A,RealVideo-RealAudio,African,men,00099.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id00475,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00475/00099.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00475/00099.mp4
id00476,-,-,real,A,RealVideo-RealAudio,African,men,00109.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id00476,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00476/00109.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00476/00109.mp4
id00478,-,-,real,A,RealVideo-RealAudio,African,men,00206.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id00478,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00478/00206.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00478/00206.mp4
id00518,-,-,real,A,RealVideo-RealAudio,African,men,00031.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id00518,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00518/00031.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00518/00031.mp4
id00701,-,-,real,A,RealVideo-RealAudio,African,men,00092.mp4,FakeAVCeleb/RealVideo-RealAudio/African/men/id00701,FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00701/00092.mp4,../data/raw/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00701/00092.mp4
